Timestamp,Altersgruppe,7T_Hospitalisierung_Inzidenz,7T_Inzidenz
1583020800,00-04,0.00,-1.00
1583020800,05-14,0.00,-1.00
1583020800,15-34,0.00,-1.00
1583020800,35-59,0.00,-1.00
1583020800,60-79,0.00,-1.00
1583020800,80+,0.00,-1.00
1583107200,00-04,0.00,-1.00
1583107200,05-14,0.00,-1.00
1583107200,15-34,0.00,-1.00
1583107200,35-59,0.00,-1.00
1583107200,60-79,0.00,-1.00
1583107200,80+,0.00,-1.00
1583193600,00-04,0.00,-1.00
1583193600,05-14,0.00,-1.00
1583193600,15-34,0.00,-1.00
1583193600,35-59,0.14,-1.00
1583193600,60-79,0.00,-1.00
1583193600,80+,0.00,-1.00
1583280000,00-04,0.00,-1.00
1583280000,05-14,0.00,-1.00
1583280000,15-34,0.00,-1.00
1583280000,35-59,0.14,-1.00
1583280000,60-79,0.00,-1.00
1583280000,80+,0.00,-1.00
1583366400,00-04,0.00,-1.00
1583366400,05-14,0.00,-1.00
1583366400,15-34,0.00,-1.00
1583366400,35-59,0.14,-1.00
1583366400,60-79,0.00,-1.00
1583366400,80+,0.00,-1.00
1583452800,00-04,0.00,0.00
1583452800,05-14,0.00,0.00
1583452800,15-34,0.00,0.00
1583452800,35-59,0.14,0.00
1583452800,60-79,0.00,0.00
1583452800,80+,0.00,0.00
1583539200,00-04,0.00,-1.00
1583539200,05-14,0.00,-1.00
1583539200,15-34,0.00,-1.00
1583539200,35-59,0.14,-1.00
1583539200,60-79,0.00,-1.00
1583539200,80+,0.00,-1.00
1583625600,00-04,0.00,-1.00
1583625600,05-14,0.00,-1.00
1583625600,15-34,0.00,-1.00
1583625600,35-59,0.14,-1.00
1583625600,60-79,0.18,-1.00
1583625600,80+,0.00,-1.00
1583712000,00-04,0.00,0.00
1583712000,05-14,0.00,0.00
1583712000,15-34,0.00,0.00
1583712000,35-59,0.14,0.00
1583712000,60-79,0.18,0.00
1583712000,80+,0.00,0.00
1583798400,00-04,0.00,0.00
1583798400,05-14,0.00,0.00
1583798400,15-34,0.00,0.00
1583798400,35-59,0.00,0.00
1583798400,60-79,0.18,0.00
1583798400,80+,0.00,0.00
1583884800,00-04,0.00,0.00
1583884800,05-14,0.00,0.00
1583884800,15-34,0.00,0.00
1583884800,35-59,0.14,0.00
1583884800,60-79,0.18,0.00
1583884800,80+,0.00,0.00
1583971200,00-04,0.00,0.00
1583971200,05-14,0.00,0.00
1583971200,15-34,0.00,0.00
1583971200,35-59,0.14,0.00
1583971200,60-79,0.18,0.00
1583971200,80+,0.00,0.00
1584057600,00-04,0.00,0.00
1584057600,05-14,0.00,0.00
1584057600,15-34,0.00,0.00
1584057600,35-59,0.28,0.00
1584057600,60-79,0.18,0.00
1584057600,80+,0.00,0.00
1584144000,00-04,0.00,0.00
1584144000,05-14,0.00,0.31
1584144000,15-34,0.00,1.51
1584144000,35-59,0.42,1.97
1584144000,60-79,0.18,0.77
1584144000,80+,0.00,0.00
1584230400,00-04,0.00,0.00
1584230400,05-14,0.00,0.39
1584230400,15-34,0.00,2.26
1584230400,35-59,0.69,2.69
1584230400,60-79,0.00,0.97
1584230400,80+,0.00,0.00
1584316800,00-04,0.00,0.00
1584316800,05-14,0.00,0.63
1584316800,15-34,0.00,3.20
1584316800,35-59,0.69,3.49
1584316800,60-79,0.00,1.22
1584316800,80+,0.00,0.00
1584403200,00-04,0.00,0.16
1584403200,05-14,0.00,0.94
1584403200,15-34,0.00,4.60
1584403200,35-59,0.69,4.60
1584403200,60-79,0.36,1.58
1584403200,80+,0.00,0.00
1584489600,00-04,0.00,0.32
1584489600,05-14,0.00,1.10
1584489600,15-34,0.00,6.51
1584489600,35-59,0.69,6.06
1584489600,60-79,0.89,1.94
1584489600,80+,0.00,0.17
1584576000,00-04,0.00,0.63
1584576000,05-14,0.00,1.57
1584576000,15-34,0.00,8.95
1584576000,35-59,0.97,8.07
1584576000,60-79,1.25,2.42
1584576000,80+,0.00,0.67
1584662400,00-04,0.00,1.11
1584662400,05-14,0.00,2.04
1584662400,15-34,0.00,11.22
1584662400,35-59,1.11,9.99
1584662400,60-79,1.43,3.05
1584662400,80+,0.56,1.43
1584748800,00-04,0.00,1.74
1584748800,05-14,0.00,2.59
1584748800,15-34,0.26,13.70
1584748800,35-59,1.25,12.08
1584748800,60-79,1.61,3.84
1584748800,80+,1.67,2.44
1584835200,00-04,0.00,2.53
1584835200,05-14,0.00,3.22
1584835200,15-34,0.26,16.15
1584835200,35-59,0.97,14.38
1584835200,60-79,1.79,4.73
1584835200,80+,2.79,3.54
1584921600,00-04,0.00,3.32
1584921600,05-14,0.00,3.69
1584921600,15-34,0.26,18.55
1584921600,35-59,1.38,16.91
1584921600,60-79,1.97,5.73
1584921600,80+,3.35,5.14
1585008000,00-04,0.00,3.95
1585008000,05-14,0.00,4.09
1585008000,15-34,0.26,20.82
1585008000,35-59,1.52,19.40
1585008000,60-79,2.15,6.85
1585008000,80+,3.91,7.50
1585094400,00-04,0.00,4.74
1585094400,05-14,0.00,4.64
1585094400,15-34,0.26,22.76
1585094400,35-59,2.21,21.39
1585094400,60-79,2.32,8.20
1585094400,80+,6.70,9.86
1585180800,00-04,0.00,5.22
1585180800,05-14,0.00,4.56
1585180800,15-34,0.26,23.59
1585180800,35-59,2.35,22.74
1585180800,60-79,2.68,9.52
1585180800,80+,8.93,12.56
1585267200,00-04,0.00,5.37
1585267200,05-14,0.00,4.56
1585267200,15-34,0.26,24.52
1585267200,35-59,2.08,24.20
1585267200,60-79,3.22,10.92
1585267200,80+,8.93,15.34
1585353600,00-04,0.00,5.22
1585353600,05-14,0.00,4.40
1585353600,15-34,0.00,25.21
1585353600,35-59,2.49,25.46
1585353600,60-79,3.58,12.15
1585353600,80+,11.16,17.70
1585440000,00-04,0.00,4.90
1585440000,05-14,0.00,4.16
1585440000,15-34,0.00,25.42
1585440000,35-59,3.18,26.16
1585440000,60-79,5.18,13.17
1585440000,80+,12.28,20.23
1585526400,00-04,0.00,4.74
1585526400,05-14,0.00,3.77
1585526400,15-34,0.00,25.14
1585526400,35-59,2.91,26.55
1585526400,60-79,5.36,14.31
1585526400,80+,12.28,22.17
1585612800,00-04,0.00,4.43
1585612800,05-14,0.00,3.30
1585612800,15-34,0.26,23.99
1585612800,35-59,3.18,26.57
1585612800,60-79,5.18,15.30
1585612800,80+,13.40,23.01
1585699200,00-04,0.00,3.95
1585699200,05-14,0.00,2.83
1585699200,15-34,0.26,22.22
1585699200,35-59,2.77,26.84
1585699200,60-79,6.08,16.12
1585699200,80+,12.28,23.94
1585785600,00-04,0.00,3.80
1585785600,05-14,0.00,2.75
1585785600,15-34,0.26,21.04
1585785600,35-59,2.77,26.96
1585785600,60-79,6.61,16.78
1585785600,80+,12.28,24.19
1585872000,00-04,0.00,3.80
1585872000,05-14,0.00,2.67
1585872000,15-34,0.52,19.35
1585872000,35-59,2.91,26.59
1585872000,60-79,6.97,17.29
1585872000,80+,13.95,23.85
1585958400,00-04,0.00,3.95
1585958400,05-14,0.00,2.67
1585958400,15-34,0.77,17.73
1585958400,35-59,2.49,26.36
1585958400,60-79,6.79,17.88
1585958400,80+,12.28,24.61
1586044800,00-04,0.00,3.95
1586044800,05-14,0.00,2.59
1586044800,15-34,0.77,16.33
1586044800,35-59,1.94,26.18
1586044800,60-79,6.08,18.61
1586044800,80+,11.72,24.86
1586131200,00-04,0.00,3.64
1586131200,05-14,0.00,2.75
1586131200,15-34,0.77,15.57
1586131200,35-59,1.94,25.58
1586131200,60-79,6.26,19.00
1586131200,80+,14.51,25.03
1586217600,00-04,0.00,3.48
1586217600,05-14,0.00,3.06
1586217600,15-34,0.52,15.57
1586217600,35-59,1.80,25.21
1586217600,60-79,6.79,19.10
1586217600,80+,12.84,25.71
1586304000,00-04,0.00,3.16
1586304000,05-14,0.00,3.14
1586304000,15-34,0.52,16.22
1586304000,35-59,1.66,24.41
1586304000,60-79,7.33,18.89
1586304000,80+,12.84,26.04
1586390400,00-04,0.00,2.69
1586390400,05-14,0.00,3.06
1586390400,15-34,0.52,16.33
1586390400,35-59,1.38,23.55
1586390400,60-79,6.79,18.36
1586390400,80+,12.28,25.79
1586476800,00-04,0.00,2.21
1586476800,05-14,0.00,2.75
1586476800,15-34,0.26,16.87
1586476800,35-59,1.66,22.69
1586476800,60-79,6.61,17.49
1586476800,80+,12.84,25.79
1586563200,00-04,0.00,1.74
1586563200,05-14,0.00,2.44
1586563200,15-34,0.00,17.33
1586563200,35-59,1.38,21.68
1586563200,60-79,7.15,16.55
1586563200,80+,13.40,24.53
1586649600,00-04,0.00,1.42
1586649600,05-14,0.00,2.20
1586649600,15-34,0.00,17.87
1586649600,35-59,1.25,20.77
1586649600,60-79,7.15,15.33
1586649600,80+,12.84,23.68
