datum,unixzeit,bestaetigte_faelle,genesen,tote,stationaer,schwere_verlaeufe,platzhalter3,quelle
06.03.20 10:00,1583488800,0,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
07.03.20 10:00,1583575200,2,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
08.03.20 10:00,1583661600,3,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
09.03.20 10:00,1583748000,3,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
10.03.20 10:00,1583834400,4,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
11.03.20 10:00,1583920800,4,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
12.03.20 10:00,1584007200,4,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
13.03.20 10:00,1584093600,4,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
14.03.20 10:00,1584180000,4,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
15.03.20 10:00,1584266400,4,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
16.03.20 10:00,1584352800,4,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
17.03.20 10:00,1584439200,5,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
18.03.20 10:00,1584525600,6,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
19.03.20 10:00,1584612000,10,0,0,-1,-1,-1,https://www.saaleholzlandkreis.de/corona-virus/diagramm-fall-zahlen/
