datum,gesamt,genesene,tote,stationaere,schwere,quelle
1586975013,32,20,-1,-1,-1,https://www.lra-soemmerda.de/
1587049243,32,21,-1,-1,-1,https://www.lra-soemmerda.de/
1587117635,34,22,-1,-1,-1,https://www.lra-soemmerda.de/
1587380438,34,24,-1,-1,-1,https://www.lra-soemmerda.de/
1587538834,37,24,-1,-1,-1,https://www.lra-soemmerda.de/
1587632438,37,25,-1,-1,-1,https://www.lra-soemmerda.de/
1587718841,37,28,-1,-1,-1,https://www.lra-soemmerda.de/
1587974437,37,32,-1,-1,-1,https://www.lra-soemmerda.de/
1588572047,38,33,-1,-1,-1,https://www.lra-soemmerda.de/
1588928448,38,36,-1,-1,-1,https://www.lra-soemmerda.de/
1589575308,38,36,1,-1,-1,https://www.lra-soemmerda.de/
