date,sum,recovered,dead,hosp,hospcov,severe,url
1584266400,51,0,0,0,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1584352800,55,0,0,5,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1584439200,71,0,0,7,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1584525600,87,1,0,7,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1584612000,108,2,0,9,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1584698400,161,3,0,15,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1584781200,207,24,0,20,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1584867600,237,27,0,21,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1584954000,263,33,1,21,-1,0,https://corona.thueringen.de/covid-19-bulletin/
1585040400,349,52,1,32,-1,2,https://corona.thueringen.de/covid-19-bulletin/
1585126800,423,64,2,43,-1,3,https://corona.thueringen.de/covid-19-bulletin/
1585213200,512,80,3,61,-1,5,https://corona.thueringen.de/covid-19-bulletin/
1585299600,574,110,4,62,41,7,https://corona.thueringen.de/covid-19-bulletin/
1585386000,672,150,5,69,46,7,https://corona.thueringen.de/covid-19-bulletin/
1585468800,736,180,5,84,58,7,https://corona.thueringen.de/covid-19-bulletin/
1585555200,761,210,5,91,63,10,https://corona.thueringen.de/covid-19-bulletin/
1585641600,805,270,6,105,74,14,https://corona.thueringen.de/covid-19-bulletin/
1585728000,864,320,7,121,88,16,https://corona.thueringen.de/covid-19-bulletin/
1585814400,938,390,8,127,104,17,https://corona.thueringen.de/covid-19-bulletin/
1585900800,1021,440,9,137,111,17,https://corona.thueringen.de/covid-19-bulletin/
1585987200,1080,500,10,143,114,19,https://corona.thueringen.de/covid-19-bulletin/
1586073600,1144,550,10,150,120,19,https://corona.thueringen.de/covid-19-bulletin/
1586160000,1188,560,13,161,130,21,https://corona.thueringen.de/covid-19-bulletin/
1586246400,1222,640,19,174,142,26,https://corona.thueringen.de/covid-19-bulletin/
1586332800,1299,690,20,194,152,30,https://corona.thueringen.de/covid-19-bulletin/
1586419200,1354,740,21,199,157,31,https://corona.thueringen.de/covid-19-bulletin/
1586505600,1420,770,24,212,162,37,https://corona.thueringen.de/covid-19-bulletin/
1586592000,1443,820,25,222,166,38,https://corona.thueringen.de/covid-19-bulletin/
1586678400,1470,850,25,223,168,39,https://corona.thueringen.de/covid-19-bulletin/
1586764800,1491,890,28,230,174,41,https://corona.thueringen.de/covid-19-bulletin/
1586851200,1510,1000,32,237,178,41,https://corona.thueringen.de/covid-19-bulletin/
1586937600,1566,1040,40,256,191,41,https://corona.thueringen.de/covid-19-bulletin/
1587024000,1604,1080,45,267,206,48,https://corona.thueringen.de/covid-19-bulletin/
1587110400,1688,1130,50,273,208,55,https://corona.thueringen.de/covid-19-bulletin/
1587196800,1722,1170,51,282,214,57,https://corona.thueringen.de/covid-19-bulletin/
1587283200,1768,1210,53,290,220,58,https://corona.thueringen.de/covid-19-bulletin/
1587369600,1789,1250,53,296,223,58,https://corona.thueringen.de/covid-19-bulletin/
1587456000,1820,1290,59,313,233,60,https://corona.thueringen.de/covid-19-bulletin/
1587542400,1874,1330,61,331,236,62,https://corona.thueringen.de/covid-19-bulletin/
1587628800,1962,1380,64,348,249,63,https://corona.thueringen.de/covid-19-bulletin/
1587715200,2021,1430,65,363,260,66,https://corona.thueringen.de/covid-19-bulletin/
1587801600,2064,1460,71,372,265,68,https://corona.thueringen.de/covid-19-bulletin/
