datum,gesamt,genesene,tote,stationaere,schwere,quelle
1586019600,35,5,0,4,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1586184300,35,7,0,3,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1586269800,40,7,0,4,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1586365200,42,7,0,4,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1586450400,45,7,0,4,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1586462421,47,7,0,3,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1586538021,47,7,0,4,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1586620823,51,8,0,4,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1586954700,56,20,1,7,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1587020442,57,20,1,7,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1587045636,58,20,1,7,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1587106844,60,20,1,7,0,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1587132039,61,22,1,5,1,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
1587225635,62,22,1,6,1,https://www.unstrut-hainich-kreis.de/index.php/informationen-zum-neuartigen-coronavirus
