Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
1577836800,0,0,0,0,0,0
1577923200,0,0,0,0,0,0
1578009600,0,0,0,0,0,0
1578096000,0,0,0,0,0,0
1578182400,0,0,0,0,0,0
1578268800,0,0,0,0,0,0
1578355200,0,0,0,0,0,0
1578441600,0,0,0,0,0,0
1578528000,0,0,0,0,0,0
1578614400,0,0,0,0,0,0
1578700800,0,0,0,0,0,0
1578787200,0,0,0,0,0,0
1578873600,0,0,0,0,0,0
1578960000,0,0,0,0,0,0
1579046400,0,0,0,0,0,0
1579132800,0,0,0,0,0,0
1579219200,0,0,0,0,0,0
1579305600,0,0,0,0,0,0
1579392000,0,0,0,0,0,0
1579478400,0,0,0,0,0,0
1579564800,0,0,0,0,0,0
1579651200,0,0,0,0,0,0
1579737600,0,0,0,0,0,0
1579824000,0,0,0,0,0,0
1579910400,0,0,0,0,0,0
1579996800,0,0,0,0,0,0
1580083200,0,0,0,0,0,0
1580169600,0,0,0,0,0,0
1580256000,0,0,0,0,0,0
1580342400,0,0,0,0,0,0
1580428800,0,0,0,0,0,0
1580515200,0,0,0,0,0,0
1580601600,0,0,0,0,0,0
1580688000,0,0,0,0,0,0
1580774400,0,0,0,0,0,0
1580860800,0,0,0,0,0,0
1580947200,0,0,0,0,0,0
1581033600,0,0,0,0,0,0
1581120000,0,0,0,0,0,0
1581206400,0,0,0,0,0,0
1581292800,0,0,0,0,0,0
1581379200,0,0,0,0,0,0
1581465600,0,0,0,0,0,0
1581552000,0,0,0,0,0,0
1581638400,0,0,0,0,0,0
1581724800,0,0,0,0,0,0
1581811200,0,0,0,0,0,0
1581897600,0,0,0,0,0,0
1581984000,0,0,0,0,0,0
1582070400,0,0,0,0,0,0
1582156800,0,0,0,0,0,0
1582243200,0,0,0,0,0,0
1582329600,0,0,0,0,0,0
1582416000,0,0,0,0,0,0
1582502400,0,0,0,0,0,0
1582588800,0,0,0,0,0,0
1582675200,0,0,0,0,0,0
1582761600,0,0,0,0,0,0
1582848000,0,0,0,0,0,0
1582934400,0,0,0,0,0,0
1583020800,0,0,0,0,0,0
1583107200,0,0,0,0,0,0
1583193600,1,1,0,0,0,0
1583280000,1,1,0,0,0,0
1583366400,1,1,0,0,0,0
1583452800,1,1,0,0,0,0
1583539200,2,2,0,0,0,0
1583625600,2,2,0,0,0,0
1583712000,2,2,0,0,0,0
1583798400,11,11,0,0,0,0
1583884800,12,12,0,0,0,0
1583971200,23,23,0,0,0,0
1584057600,33,33,0,0,0,0
1584144000,51,51,0,0,0,0
1584230400,52,52,0,0,0,0
1584316800,70,70,0,0,0,0
1584403200,101,101,0,0,0,0
1584489600,138,138,0,0,0,0
1584576000,192,192,0,0,0,0
1584662400,268,268,0,0,0,0
1584748800,306,304,2,0,0,0
1584835200,333,330,3,0,0,0
1584921600,385,381,4,0,0,0
1585008000,457,450,7,0,0,0
1585094400,536,526,10,0,0,0
1585180800,611,598,13,0,0,0
1585267200,684,667,17,0,0,0
1585353600,752,734,18,0,0,0
1585440000,772,753,19,0,0,0
1585526400,807,787,20,0,0,0
1585612800,886,862,24,0,0,0
1585699200,944,918,26,0,0,0
1585785600,1029,998,31,0,0,0
1585872000,1099,1064,35,0,0,0
1585958400,1149,1111,38,0,0,0
1586044800,1189,1146,43,0,0,0
1586131200,1215,1170,45,0,0,0
1586217600,1287,1234,53,0,0,0
1586304000,1351,1294,57,0,0,0
1586390400,1421,1358,63,0,0,0
1586476800,1448,1378,70,0,0,0
1586563200,1475,1401,74,0,0,0
1586649600,1507,1428,79,0,0,0
1586736000,1527,1446,81,0,0,0
1586822400,1571,1482,89,0,0,0
1586908800,1613,1519,94,0,0,0
1586995200,1694,1599,95,0,0,0
1587081600,1730,1632,98,0,0,0
1587168000,1777,1675,102,0,0,0
1587254400,1793,1690,103,0,0,0
1587340800,1831,1721,110,0,0,0
1587427200,1906,1792,114,0,0,0
1587513600,1962,1845,117,0,0,0
1587600000,2028,1909,119,0,0,0
1587686400,2074,1953,121,0,0,0
1587772800,2099,1975,124,0,0,0
1587859200,2120,1995,125,0,0,0
1587945600,2148,2020,128,0,0,0
1588032000,2225,2089,136,0,0,0
1588118400,2268,2129,139,0,0,0
1588204800,2329,2182,147,0,0,0
1588291200,2343,2196,147,0,0,0
1588377600,2364,2213,151,0,0,0
1588464000,2365,2213,152,0,0,0
1588550400,2395,2241,154,0,0,0
1588636800,2436,2281,155,0,0,0
1588723200,2481,2321,160,0,0,0
1588809600,2529,2365,164,0,0,0
1588896000,2555,2391,164,0,0,0
1588982400,2586,2421,165,0,0,0
1589068800,2594,2428,166,0,0,0
1589155200,2626,2459,167,0,0,0
1589241600,2654,2487,167,0,0,0
1589328000,2670,2502,168,0,0,0
1589414400,2695,2525,170,0,0,0
1589500800,2716,2544,172,0,0,0
1589587200,2740,2567,173,0,0,0
1589673600,2749,2575,174,0,0,0
1589760000,2759,2584,175,0,0,0
1589846400,2793,2618,175,0,0,0
1589932800,2814,2638,176,0,0,0
1590019200,2834,2658,176,0,0,0
1590105600,2852,2675,177,0,0,0
1590192000,2866,2687,179,0,0,0
1590278400,2877,2698,179,0,0,0
1590364800,2895,2714,181,0,0,0
1590451200,2931,2749,182,0,0,0
1590537600,2955,2773,182,0,0,0
1590624000,2992,2808,184,0,0,0
1590710400,3008,2824,184,0,0,0
1590796800,3021,2834,187,0,0,0
1590883200,3028,2840,188,0,0,0
1590969600,3030,2842,188,0,0,0
1591056000,3034,2846,188,0,0,0
1591142400,3054,2866,188,0,0,0
1591228800,3070,2882,188,0,0,0
1591315200,3090,2902,188,0,0,0
1591401600,3096,2906,190,0,0,0
1591488000,3102,2912,190,0,0,0
1591574400,3108,2918,190,0,0,0
1591660800,3122,2932,190,0,0,0
1591747200,3144,2953,191,0,0,0
1591833600,3163,2972,191,0,0,0
1591920000,3171,2980,191,0,0,0
1592006400,3182,2991,191,0,0,0
1592092800,3187,2996,191,0,0,0
1592179200,3189,2998,191,0,0,0
1592265600,3204,3013,191,0,0,0
1592352000,3210,3019,191,0,0,0
1592438400,3215,3024,191,0,0,0
1592524800,3221,3030,191,0,0,0
1592611200,3229,3038,191,0,0,0
1592697600,3229,3038,191,0,0,0
1592784000,3234,3043,191,0,0,0
1592870400,3236,3045,191,0,0,0
1592956800,3239,3048,191,0,0,0
1593043200,3243,3052,191,0,0,0
1593129600,3248,3056,192,0,0,0
1593216000,3248,3056,192,0,0,0
1593302400,3248,3056,192,0,0,0
1593388800,3250,3058,192,0,0,0
1593475200,3255,3063,192,0,0,0
1593561600,3256,3064,192,0,0,0
1593648000,3266,3074,192,0,0,0
1593734400,3266,3074,192,0,0,0
1593820800,3269,3077,192,0,0,0
1593907200,3271,3079,192,0,0,0
1593993600,3276,3083,193,0,0,0
1594080000,3283,3090,193,0,0,0
1594166400,3286,3093,193,0,0,0
1594252800,3288,3095,193,0,0,0
1594339200,3289,3096,193,0,0,0
1594425600,3292,3099,193,0,0,0
