Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1589414400,59,49,3,0,0,0
AP,1589414400,73,66,4,0,0,0
EA,1589414400,27,16,2,1,0,0
EF,1589414400,135,130,2,0,0,0
EIC,1589414400,139,118,6,0,0,0
G,1589414400,186,145,9,0,3,0
GRZ,1589414400,567,410,41,14,6,3
GTH,1589414400,270,208,24,0,2,1
HBN,1589414400,32,24,1,0,1,0
IK,1589414400,129,119,4,0,0,0
J,1589414400,159,155,3,1,0,0
KYF,1589414400,44,40,0,0,0,0
NDH,1589414400,61,59,1,1,1,0
SHK,1589414400,67,53,2,1,0,0
SHL,1589414400,13,11,2,0,0,0
SLF,1589414400,64,59,0,-2,-2,0
SM,1589414400,117,94,3,2,2,0
SOK,1589414400,137,112,12,1,3,0
SOM,1589414400,37,36,1,0,0,0
SON,1589414400,165,101,11,4,1,0
UH,1589414400,78,70,2,0,0,0
WAK,1589414400,57,40,2,6,0,0
WE,1589414400,65,63,0,0,0,0
TH,1589414400,2681,2178,135,29,17,4
