Datum,SummeA,SummeB,R
1583971200,13,2,6.500
1584057600,28,2,14.000
1584144000,44,3,14.667
1584230400,49,9,5.444
1584316800,53,13,4.077
1584489600,70,28,2.500
1584576000,88,44,2.000
1584662400,135,49,2.755
1584748800,158,53,2.981
1584835200,203,70,2.900
1585008000,276,88,3.136
1585094400,339,135,2.511
1585180800,394,158,2.494
1585267200,444,203,2.187
1585353600,435,276,1.576
1585440000,510,339,1.504
1585519200,470,394,1.193
1585605600,457,444,1.029
1585692000,466,435,1.071
1585778400,457,510,0.896
1585864800,440,470,0.936
1585951200,488,457,1.068
1586037600,443,466,0.951
1586124000,457,457,1.000
1586210400,424,440,0.964
1586296800,425,488,0.871
1586383200,426,443,0.962
1586469600,434,457,0.950
1586556000,363,424,0.856
1586642400,324,425,0.762
1586728800,309,426,0.725
1586815200,296,434,0.682
1586901600,265,363,0.730
1586988000,250,324,0.772
1587074400,266,309,0.861
1587160800,282,296,0.953
1587247200,292,265,1.102
1587333600,300,250,1.200
1587420000,294,266,1.105
1587506400,322,282,1.142
1587634452,331,292,1.134
1587693639,341,300,1.137
1587780040,341,294,1.160
1587866440,342,322,1.062
1587952839,335,331,1.012
1588039240,346,341,1.015
1588125640,298,341,0.874
1588212044,322,342,0.942
1588312855,300,335,0.896
1588384851,277,346,0.801
1588471252,247,298,0.829
1588557651,235,322,0.730
1588644057,248,300,0.827
1588730452,259,277,0.935
