region,W_A00-A04,M_A00-A04,W_A05-A14,M_A05-A14,W_A15-A34,M_A15-A34,W_A35-A59,M_A35-A59,W_A60-A79,M_A60-A79,W_A80+,M_A80+
ABG,19,14,69,57,106,91,159,189,56,45,10,4
AP,17,25,78,92,82,93,140,121,31,37,14,7
EA,0,0,0,0,0,0,0,0,0,0,0,0
EF,16,33,106,123,155,133,195,157,44,36,11,9
EIC,15,14,56,53,68,61,105,92,17,18,3,5
G,6,8,28,29,54,58,58,58,16,18,14,1
GRZ,21,12,70,71,145,165,289,255,91,91,27,12
GTH,11,6,68,78,132,134,175,160,49,56,19,8
HBN,7,11,33,42,96,81,171,159,52,58,22,10
IK,10,9,55,45,112,148,139,127,43,37,11,8
J,44,36,113,121,282,259,212,199,37,25,22,14
KYF,8,11,28,33,50,40,65,74,27,22,11,6
NDH,7,8,38,36,49,51,92,65,18,17,22,13
SHK,10,11,56,65,68,98,153,162,48,56,10,9
SHL,2,3,19,15,35,41,58,53,22,16,10,1
SLF,11,11,20,32,79,72,109,124,44,34,14,6
SM,20,20,30,56,95,80,119,109,35,48,16,13
SOK,19,7,33,32,76,75,111,120,40,22,11,4
SOM,12,16,50,58,74,63,158,135,43,34,15,7
SON,1,4,17,22,42,42,64,92,32,11,4,1
UH,18,11,47,47,79,74,125,99,26,31,20,12
WAK,22,11,106,109,199,187,275,248,82,85,24,13
WE,20,18,74,63,166,116,107,112,22,17,6,4
TH,316,299,1194,1279,2244,2162,3079,2910,875,814,316,167
