region,W_A00-A04,M_A00-A04,W_A05-A14,M_A05-A14,W_A15-A34,M_A15-A34,W_A35-A59,M_A35-A59,W_A60-A79,M_A60-A79,W_A80+,M_A80+
ABG,0.00,0.00,0.00,0.00,0.00,0.03,0.07,0.24,1.73,3.36,13.04,18.11
AP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.11,1.58,6.00,11.20
EA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
EF,0.00,0.00,0.00,0.00,0.01,0.00,0.05,0.15,1.46,3.13,9.55,16.89
EIC,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.10,1.30,2.49,11.45,15.69
G,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.19,1.79,3.84,9.79,17.56
GRZ,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.12,1.38,2.90,9.32,15.44
GTH,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.12,1.00,2.83,8.43,12.48
HBN,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.27,2.73,4.44,15.37,26.21
IK,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.20,1.37,3.78,10.60,16.47
J,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.30,2.00,6.88,9.38
KYF,0.00,0.00,0.00,0.00,0.04,0.04,0.02,0.14,1.71,3.27,11.90,13.87
NDH,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.11,0.97,1.60,3.56,7.21
SHK,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.14,1.03,1.95,8.45,15.79
SHL,0.00,0.00,0.00,0.00,0.08,0.00,0.32,0.36,1.79,3.98,15.33,20.91
SLF,0.00,0.00,0.00,0.00,0.02,0.00,0.07,0.26,1.96,3.76,14.64,22.27
SM,0.00,0.00,0.00,0.04,0.00,0.04,0.17,0.21,2.17,4.18,13.14,21.56
SOK,0.00,0.00,0.00,0.00,0.03,0.00,0.09,0.28,1.61,3.31,11.60,17.08
SOM,0.30,0.00,0.00,0.00,0.00,0.00,0.04,0.11,1.65,3.12,13.43,17.74
SON,0.00,0.00,0.00,0.00,0.00,0.04,0.09,0.39,1.79,3.23,12.43,20.90
UH,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.21,1.75,3.22,11.61,19.23
WAK,0.00,0.00,0.00,0.00,0.02,0.03,0.02,0.18,1.21,2.73,9.37,13.63
WE,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.11,0.92,2.82,9.38,11.29
TH,0.01,0.00,0.00,0.00,0.01,0.02,0.06,0.18,1.51,3.12,10.74,16.57
