region,W_A00-A04,M_A00-A04,W_A05-A14,M_A05-A14,W_A15-A34,M_A15-A34,W_A35-A59,M_A35-A59,W_A60-A79,M_A60-A79,W_A80+,M_A80+
ABG,0,0,0,0,0,1,5,12,43,77,161,125
AP,0,0,0,0,0,0,0,6,20,26,38,39
EA,0,0,0,0,0,0,0,0,0,0,0,0
EF,0,0,0,0,1,0,7,15,49,93,166,157
EIC,0,0,0,0,0,1,2,6,33,63,126,99
G,0,0,0,0,0,1,5,10,40,79,109,106
GRZ,0,0,0,0,0,0,5,7,38,73,122,105
GTH,0,0,0,0,0,0,5,10,31,80,111,94
HBN,0,0,0,0,0,0,7,12,51,80,134,114
IK,0,0,0,0,0,1,5,14,41,98,142,120
J,0,0,0,0,0,0,0,4,5,30,56,45
KYF,0,0,0,0,1,1,1,6,30,53,87,57
NDH,0,0,0,0,0,1,1,5,16,25,25,28
SHK,0,0,0,0,0,0,3,8,22,40,69,75
SHL,0,0,0,0,1,0,7,7,17,33,64,45
SLF,0,0,0,0,1,0,5,18,56,95,196,152
SM,0,0,0,1,0,2,16,17,78,145,199,186
SOK,0,0,0,0,1,0,6,16,37,75,95,85
SOM,1,0,0,0,0,0,2,5,29,47,83,61
SON,0,0,0,0,0,1,4,16,31,52,93,87
UH,0,0,0,0,0,0,7,14,47,79,131,126
WAK,0,0,0,0,1,2,2,18,44,95,151,127
WE,0,0,0,0,0,1,1,4,11,30,64,38
TH,1,0,0,1,6,12,96,230,769,1468,2422,2071
