region,W_A00-A04,M_A00-A04,W_A05-A14,M_A05-A14,W_A15-A34,M_A15-A34,W_A35-A59,M_A35-A59,W_A60-A79,M_A60-A79,W_A80+,M_A80+
ABG,450,494,1843,1850,3713,3353,6901,5742,2631,2235,1204,601
AP,514,532,2202,2160,3376,2864,5921,5093,1730,1587,602,311
EA,0,0,0,0,0,0,0,0,0,0,0,0
EF,1131,1119,4289,4446,10867,9438,13428,11490,3668,3192,1637,832
EIC,721,818,2717,2711,4705,4289,8035,6756,2710,2494,959,549
G,402,458,1725,1938,4024,3732,5954,5218,2317,1938,1024,498
GRZ,341,350,1711,1836,3854,3548,7694,6370,2800,2532,1225,583
GTH,518,549,2788,2766,5940,5346,9835,8379,3121,2762,1242,669
HBN,248,258,1260,1326,2804,2530,5486,4794,2002,1789,753,328
IK,669,717,2725,2822,4873,4597,8054,7091,2918,2539,1205,620
J,942,1026,2700,2808,6395,5718,6495,5798,1574,1427,761,423
KYF,264,278,1347,1491,2802,2519,4974,4074,1805,1563,645,342
NDH,441,430,1773,1840,3237,2839,5167,4342,1589,1489,658,359
SHK,535,513,2158,2209,3530,3250,6638,5735,2231,1952,741,409
SHL,95,109,568,591,1328,1319,2197,1908,970,858,356,173
SLF,419,455,2097,2191,4238,3806,8068,6948,2879,2541,1197,539
SM,575,575,2688,2834,5498,5048,9897,8402,3584,3382,1311,689
SOK,323,362,1612,1730,3622,3410,6807,5765,2418,2201,780,429
SOM,326,333,1538,1645,2886,2518,5280,4525,1773,1538,578,304
SON,215,212,1136,1178,2429,2277,4396,3983,1673,1523,650,322
UH,541,496,2277,2303,4474,3936,7780,6432,2637,2388,1011,532
WAK,737,801,3410,3662,6513,5931,11464,9913,3634,3448,1478,800
WE,490,520,1879,1784,3413,2887,4367,3558,1232,1076,621,324
TH,10897,11405,46443,48121,94521,85155,154838,132316,51896,46454,20638,10636
