Region,Datum,SummeFall,SummeGenesen,SummeTodesfall,AnzahlFall,AnzahlGenesen,AnzahlTodesfall
ABG,1652486400,31229,29612,433,0,42,0
AP,1652486400,26864,25791,129,0,0,0
EA,1652486400,0,0,0,0,0,0
EF,1652486400,64024,62892,520,0,18,0
EIC,1652486400,36032,34113,334,0,33,0
G,1652486400,28787,28053,354,0,14,0
GRZ,1652486400,31835,30012,353,0,37,0
GTH,1652486400,43009,42217,338,0,24,0
HBN,1652486400,23437,22264,398,0,23,0
IK,1652486400,37985,37108,422,0,38,0
J,1652486400,35211,32720,141,0,2,0
KYF,1652486400,22090,20969,240,0,0,0
NDH,1652486400,23856,23351,101,0,10,0
SHK,1652486400,29871,28715,220,0,17,0
SHL,1652486400,10343,9946,178,0,0,0
SLF,1652486400,35400,34481,541,0,6,0
SM,1652486400,43805,42347,647,0,11,0
SOK,1652486400,29432,28461,326,0,8,0
SOM,1652486400,23008,22581,237,0,3,0
SON,1652486400,20092,19155,284,0,0,0
UH,1652486400,34532,33403,411,0,15,0
WAK,1652486400,50646,48833,441,0,12,0
WE,1652486400,21735,20321,152,0,2,0
TH,1652486400,703223,677345,7200,0,315,0
