timestamp,checksum,kita_green,kita_yellow,kita_red,schools_green,schools_yellow,schools_red
1605990345,0aa66984c507f655c5fc5b793c75c2c93489a95b,1276,54,9,813,160,5
1606028439,6ac48f1b2ad40bd40327ff843d4b1760adf6d402,1272,54,13,814,158,6
1606042841,3fdf35c4c2a5a56c7654b8dccaddcbc689b72f0a,1272,54,13,802,170,6
1606057239,e0610e01ecb5623d83ddd55f5f70473397d48718,1271,55,13,791,179,8
1606082439,85a459fec631b05a77122c7f411d6ef53ce9ac88,1271,55,13,791,179,8
1606132846,d68facd376083c4e35e8c30d8aa1fb72dfa9bf51,1268,57,14,784,186,8
1606158046,f3c1ee3790d32537a30bdd7bfa593c0237c6526a,1267,57,15,776,194,8
1606208452,4b4d290218f18dce71464f3479444e9461c3d423,1262,63,14,782,188,8
1606219258,3185883cc5a9be5f4a66c97b5ffbc6693dab6555,1261,64,14,773,197,8
1606226445,d73d851f901b8862a0091ead61e0efeadb8e19bd,1258,65,16,769,201,8
1606233647,88efd3c71831ccd750e5a647ee513a55cc057484,1248,77,14,772,200,6
1606244455,c0c04f2cc0c7a21744aa09f7a2b71a034ad7414c,1247,77,15,772,199,7
1606287645,d36cf441c6a237c2042c430b124209a75cca6108,1249,75,15,772,202,4
1606294848,f4a24e186e04034ecfd4bb416cac981c2dd06074,1248,36,55,769,172,37
1606298444,c0404cb8a4f5c2685d328cb2916a962ff38aa0ae,1247,36,56,769,172,37
1606323644,964a1e1af3026e57be49ec8118fc1697d2587a88,1246,36,57,759,181,38
1606327242,ec2ad8de35cbc1923bdb15f683b87eb994fdaafd,1246,36,57,758,181,39
1606377641,ba2f487a0577204121885b20530acd20544e30f7,1245,38,56,770,170,38
1606381243,4f35368c01f157982c8831eaa87c2e6222cf46f8,1245,38,56,770,169,39
1606388445,3dc1a428f6657d0adb332ae6b990992428709bfa,1213,70,56,770,169,39
1606392044,8b2d6aa981a367a81209411c398deb00a0e94622,1213,70,56,762,177,39
1606395647,868b957ecaf1178c586aa1e866941b87271e06b9,1212,71,56,746,193,39
1606410039,5689969efc94b740f821b9b95e7f0ead346526ca,1203,79,57,737,203,38
1606464042,c8646e78d7d991063ae2648eb554234223994934,1208,77,54,740,200,38
1606478445,b11a553d48f3b8e58dd2c957d0b66a855a1dbec0,1207,78,54,731,209,38
1606489243,91dd415e526e2c1f8e5ada2266128ec15153d1da,1208,77,54,727,212,39
1606492842,51f97ac6ee50f9baf278356f103414ee3e69c6ca,1208,77,54,728,211,40
1606590043,5c6cf8ca54e6a4d2f93bc707ea0469be8c8e6036,1210,77,52,737,205,37
1606647651,4cce129f7e3114ab0e1df663c54a4f5b1eb15aa5,1206,78,55,736,206,37
1606651245,53b4856dcbcfac52ace860d4454c8cc2c4b596f6,1203,81,55,727,215,37
1606669243,d6428d0b667da3bdbfe2b44935b5fdcdf1754868,1203,81,55,724,218,37
1606719641,60c0be135b476bba5d072e8fefc182c44a31f6be,1202,81,56,721,220,38
