ags,rs,gemeinde,landkreis
16051000,160510000000,Erfurt,Stadt Erfurt
16052000,160520000000,Gera,Stadt Gera
16053000,160530000000,Jena,Stadt Jena
16054000,160540000000,Suhl,Stadt Suhl
16055000,160550000000,Weimar,Stadt Weimar
16056000,160560000000,Eisenach,Stadt Eisenach
16061001,160615008001,Arenshausen,Eichsfeld
16061002,160615012002,Asbach-Sickenberg,Eichsfeld
16061003,160615001003,Berlingerode,Eichsfeld
16061007,160615012007,Birkenfelde,Eichsfeld
16061012,160615009012,Bodenrode-Westhausen,Eichsfeld
16061014,160615008014,Bornhagen,Eichsfeld
16061015,160615001015,Brehme,Eichsfeld
16061017,160615006017,Breitenworbis,Eichsfeld
16061018,160615013018,Büttstedt,Eichsfeld
16061019,160615006019,Buhla,Eichsfeld
16061021,160615008021,Burgwalde,Eichsfeld
16061023,160615014023,Dieterode,Eichsfeld
16061024,160615012024,Dietzenrode,Eichsfeld
16061024,160615012024,Vatterode,Eichsfeld
16061026,160615001026,Ecklingerode,Eichsfeld
16061027,160615013027,Effelder,Eichsfeld
16061028,160615012028,Eichstruth,Eichsfeld
16061031,160615001031,Ferna,Eichsfeld
16061032,160615008032,Freienhagen,Eichsfeld
16061033,160615008033,Fretterode,Eichsfeld
16061034,160615009034,Geisleden,Eichsfeld
16061035,160615014035,Geismar,Eichsfeld
16061036,160615008036,Gerbershausen,Eichsfeld
16061037,160615006037,Gernrode,Eichsfeld
16061039,160615009039,Glasehausen,Eichsfeld
16061041,160615013041,Großbartloff,Eichsfeld
16061044,160615006044,Haynrode,Eichsfeld
16061045,160610045045,Heilbad Heiligenstadt,Eichsfeld
16061047,160615009047,Heuthen,Eichsfeld
16061048,160615008048,Hohengandern,Eichsfeld
16061049,160615009049,Hohes Kreuz,Eichsfeld
16061056,160615014056,Kella,Eichsfeld
16061057,160615008057,Kirchgandern,Eichsfeld
16061058,160615006058,Kirchworbis,Eichsfeld
16061062,160615014062,Krombach,Eichsfeld
16061063,160615013063,Küllstedt,Eichsfeld
16061065,160615012065,Lenterode,Eichsfeld
16061066,160615008066,Lindewerra,Eichsfeld
16061067,160615012067,Lutter,Eichsfeld
16061068,160615012068,Mackenrode,Eichsfeld
16061069,160615008069,Marth,Eichsfeld
16061074,160610074074,Niederorschel,Eichsfeld
16061075,160615014075,Pfaffschwende,Eichsfeld
16061076,160615009076,Reinholterode,Eichsfeld
16061077,160615012077,Röhrig,Eichsfeld
16061078,160615008078,Rohrberg,Eichsfeld
16061082,160615008082,Rustenfelde,Eichsfeld
16061083,160615008083,Schachtebich,Eichsfeld
16061084,160615012084,Schönhagen,Eichsfeld
16061085,160615014085,Schwobfeld,Eichsfeld
16061086,160615014086,Sickerode,Eichsfeld
16061089,160615009089,Steinbach,Eichsfeld
16061091,160615012091,Steinheuterode,Eichsfeld
16061094,160615001094,Tastungen,Eichsfeld
16061096,160615012096,Thalwenden,Eichsfeld
16061097,160615012097,Uder,Eichsfeld
16061098,160615014098,Volkerode,Eichsfeld
16061101,160615013101,Wachstedt,Eichsfeld
16061102,160615008102,Wahlhausen,Eichsfeld
16061103,160615001103,Wehnde,Eichsfeld
16061105,160615014105,Wiesenfeld,Eichsfeld
16061107,160615009107,Wingerode,Eichsfeld
16061111,160615012111,Wüstheuterode,Eichsfeld
16061113,160615014113,Schimberg,Eichsfeld
16061114,160615001114,Teistungen,Eichsfeld
16061115,160610115115,Leinefelde-Worbis,Eichsfeld
16061116,160610116116,Am Ohmberg,Eichsfeld
16061117,160610117117,Sonnenstein,Eichsfeld
16061118,160610118118,Dingelstädt,Eichsfeld
16062005,160620005005,Ellrich,Nordhausen
16062008,160625053008,Görsbach,Nordhausen
16062009,160625054009,Großlohra,Nordhausen
16062024,160625054024,Kehmstedt,Nordhausen
16062026,160625054026,Kleinfurra,Nordhausen
16062033,160625054033,Lipprechterode,Nordhausen
16062037,160625054037,Niedergebra,Nordhausen
16062041,160620041041,Nordhausen,Nordhausen
16062049,160620049049,Sollstedt,Nordhausen
16062054,160625053054,Urbach,Nordhausen
16062062,160620062062,Hohenstein,Nordhausen
16062063,160620063063,Werther,Nordhausen
16062064,160625053064,Heringen,Nordhausen
16062064,160625053064,Helme,Nordhausen
16062065,160620065065,Harztor,Nordhausen
16062066,160625054066,Bleicherode,Nordhausen
16063003,160635051003,Bad Salzungen,Wartburgkreis
16063004,160630004004,Barchfeld-Immelborn,Wartburgkreis
16063006,160635006006,Berka v. d. Hainich,Wartburgkreis
16063008,160635006008,Bischofroda,Wartburgkreis
16063011,160635056011,Buttlar,Wartburgkreis
16063015,160635059015,Dermbach,Wartburgkreis
16063023,160635059023,Empfertshausen,Wartburgkreis
16063028,160635006028,Frankenroda,Wartburgkreis
16063032,160635056032,Geisa,Wartburgkreis
16063033,160635056033,Gerstengrund,Wartburgkreis
16063037,160635006037,Hallungen,Wartburgkreis
16063046,160635006046,Krauthausen,Wartburgkreis
16063049,160635006049,Lauterbach,Wartburgkreis
16063051,160635051051,Leimbach,Wartburgkreis
16063058,160635006058,Nazza,Wartburgkreis
16063062,160635059062,Oechsen,Wartburgkreis
16063066,160635057066,Ruhla,Wartburgkreis
16063068,160635056068,Schleid,Wartburgkreis
16063071,160635057071,Seebach,Wartburgkreis
16063076,160630076076,Treffurt,Wartburgkreis
16063078,160630078078,Unterbreizbach,Wartburgkreis
16063082,160630082082,Vacha,Wartburgkreis
16063084,160635059084,Weilar,Wartburgkreis
16063086,160635059086,Wiesenthal,Wartburgkreis
16063092,160630092092,Wutha-Farnroda,Wartburgkreis
16063094,160630094094,Moorgrund,Wartburgkreis
16063097,160630097097,Gerstungen,Wartburgkreis
16063098,160630098098,Hörselberg-Hainich,Wartburgkreis
16063099,160630099099,Bad Liebenstein,Wartburgkreis
16063101,160630101101,Krayenberggemeinde,Wartburgkreis
16063103,160630103103,Werra-Suhl-Tal,Wartburgkreis
16063104,160635006104,Amt Creuzburg,Wartburgkreis
16064003,160640003003,Bad Langensalza,Unstrut-Hainich-Kreis
16064004,160645001004,Bad Tennstedt,Unstrut-Hainich-Kreis
16064005,160645001005,Ballhausen,Unstrut-Hainich-Kreis
16064007,160645001007,Blankenburg,Unstrut-Hainich-Kreis
16064009,160645001009,Bruchstedt,Unstrut-Hainich-Kreis
16064014,160640014014,Dünwald,Unstrut-Hainich-Kreis
16064019,160645051019,Großvargula,Unstrut-Hainich-Kreis
16064021,160645001021,Haussömmern,Unstrut-Hainich-Kreis
16064022,160645051022,Herbsleben,Unstrut-Hainich-Kreis
16064027,160645001027,Hornsömmern,Unstrut-Hainich-Kreis
16064032,160645053032,Kammerforst,Unstrut-Hainich-Kreis
16064033,160645001033,Kirchheilingen,Unstrut-Hainich-Kreis
16064037,160645055037,Körner,Unstrut-Hainich-Kreis
16064038,160645001038,Kutzleben,Unstrut-Hainich-Kreis
16064043,160645055043,Marolterode,Unstrut-Hainich-Kreis
16064045,160645001045,Mittelsömmern,Unstrut-Hainich-Kreis
16064046,160640046046,Mühlhausen,Unstrut-Hainich-Kreis
16064053,160645053053,Oppershausen,Unstrut-Hainich-Kreis
16064055,160645052055,Rodeberg,Unstrut-Hainich-Kreis
16064058,160645054058,Schönstedt,Unstrut-Hainich-Kreis
16064061,160645001061,Sundhausen,Unstrut-Hainich-Kreis
16064062,160645001062,Tottleben,Unstrut-Hainich-Kreis
16064064,160645001064,Urleben,Unstrut-Hainich-Kreis
16064071,160640071071,Unstruttal,Unstrut-Hainich-Kreis
16064072,160640072072,Menteroda,Unstrut-Hainich-Kreis
16064073,160640073073,Anrode,Unstrut-Hainich-Kreis
16064074,160645052074,Südeichsfeld,Unstrut-Hainich-Kreis
16064075,160645053075,Vogtei,Unstrut-Hainich-Kreis
16064076,160645054076,Unstrut-Hainich,Unstrut-Hainich-Kreis
16064077,160645055077,Nottertal-Heilinger Höhen,Unstrut-Hainich-Kreis
16065001,160655052001,Abtsbessingen,Kyffhäuserkreis
16065003,160650003003,Bad Frankenhausen,Kyffhäuserkreis
16065005,160655052005,Bellstedt,Kyffhäuserkreis
16065008,160655055008,Borxleben,Kyffhäuserkreis
16065012,160655002012,Clingen,Kyffhäuserkreis
16065014,160655052014,Ebeleben,Kyffhäuserkreis
16065016,160655056016,Etzleben,Kyffhäuserkreis
16065018,160655052018,Freienbessingen,Kyffhäuserkreis
16065019,160655055019,Gehofen,Kyffhäuserkreis
16065023,160655002023,Greußen,Kyffhäuserkreis
16065032,160650032032,Helbedündorf,Kyffhäuserkreis
16065038,160655052038,Holzsußra,Kyffhäuserkreis
16065042,160655055042,Kalbsrieth,Kyffhäuserkreis
16065046,160655055046,Mönchpfiffel-Nikolausrieth,Kyffhäuserkreis
16065048,160655002048,Niederbösa,Kyffhäuserkreis
16065051,160655002051,Oberbösa,Kyffhäuserkreis
16065052,160655056052,Oberheldrungen,Kyffhäuserkreis
16065056,160655055056,Reinsdorf,Kyffhäuserkreis
16065058,160655052058,Rockstedt,Kyffhäuserkreis
16065067,160650067067,Sondershausen,Kyffhäuserkreis
16065074,160655002074,Topfstedt,Kyffhäuserkreis
16065075,160655002075,Trebra,Kyffhäuserkreis
16065077,160655002077,Wasserthaleben,Kyffhäuserkreis
16065079,160655002079,Westgreußen,Kyffhäuserkreis
16065082,160655052082,Wolferschwenda,Kyffhäuserkreis
16065084,160655002084,Großenehrich,Kyffhäuserkreis
16065085,160650085085,Kyffhäuserland,Kyffhäuserkreis
16065086,160655055086,Artern,Kyffhäuserkreis
16065087,160650087087,Roßleben-Wiehe,Kyffhäuserkreis
16065088,160655056088,An der Schmücke,Kyffhäuserkreis
16066005,160665014005,Belrieth,Schmalkalden-Meiningen
16066012,160665005012,Birx,Schmalkalden-Meiningen
